N,종목명,현재가,전일비,등락률,액면가,PER,ROE,PBR,유보율
1.0,삼성전자,67500.0,500.0,-0.74%,100.0,10.19,17.07,1.31,38144.3
2.0,LG에너지솔루션,547000.0,9000.0,-1.62%,500.0,122.92,5.75,6.51,15657.4
3.0,SK하이닉스,115300.0,3200.0,-2.70%,5000.0,-36.03,3.56,1.3,1668.3
4.0,삼성바이오로직스,801000.0,1000.0,-0.12%,2500.0,71.69,11.42,6.25,4950.5
5.0,POSCO홀딩스,577000.0,21000.0,-3.51%,5000.0,22.88,6.11,0.81,11269.8
6.0,삼성전자우,56000.0,300.0,-0.53%,100.0,8.45,,1.09,
7.0,LG화학,622000.0,12000.0,-1.89%,5000.0,29.85,6.95,1.54,7846.5
8.0,삼성SDI,633000.0,11000.0,+1.77%,5000.0,21.89,12.52,2.46,4336.9
9.0,현대차,190500.0,2100.0,+1.11%,5000.0,5.79,9.36,0.59,5654.5
10.0,NAVER,222000.0,3000.0,-1.33%,100.0,56.55,3.29,1.43,152913.2
11.0,포스코퓨처엠,440500.0,11500.0,-2.54%,500.0,281.65,4.87,13.71,6346.3
12.0,기아,80300.0,1400.0,+1.77%,5000.0,5.01,14.57,0.79,1779.0
13.0,카카오,51600.0,1000.0,-1.90%,100.0,180.42,13.54,2.11,25032.0
14.0,셀트리온,156500.0,400.0,+0.26%,1000.0,39.16,13.35,5.38,3093.8
15.0,현대모비스,233000.0,4500.0,+1.97%,5000.0,7.84,6.8,0.55,7807.3
16.0,KB금융,51600.0,200.0,+0.39%,5000.0,4.77,9.17,0.36,2314.6
17.0,삼성물산,104900.0,800.0,+0.77%,100.0,9.16,7.16,0.59,113874.2
18.0,신한지주,34800.0,0.0,0.00%,5000.0,3.98,9.7,0.35,1643.4
19.0,SK이노베이션,190500.0,0.0,0.00%,5000.0,28.18,8.49,0.81,4220.9
20.0,LG전자,103800.0,1900.0,+1.86%,5000.0,42.56,6.61,0.94,2088.4
21.0,포스코인터내셔널,85200.0,5800.0,-6.37%,5000.0,19.02,15.79,2.52,542.8
22.0,삼성생명,70300.0,200.0,+0.29%,500.0,6.96,5.73,0.33,26178.8
23.0,카카오뱅크,27600.0,150.0,-0.54%,5000.0,44.09,4.68,2.26,139.8
24.0,LG,82300.0,900.0,-1.08%,5000.0,11.99,8.48,0.5,2942.6
25.0,한국전력,18960.0,70.0,-0.37%,5000.0,-0.52,-46.91,0.34,733.5
26.0,삼성화재,250500.0,2500.0,+1.01%,500.0,8.77,9.7,0.81,47211.8
27.0,HD현대중공업,132500.0,500.0,+0.38%,5000.0,-59.79,-6.47,2.23,893.0
28.0,KT&G,85000.0,0.0,0.00%,5000.0,11.42,11.0,1.1,1012.0
29.0,삼성전기,151400.0,1500.0,+1.00%,5000.0,15.13,13.76,1.51,1720.1
30.0,하나금융지주,38200.0,300.0,+0.79%,5000.0,3.02,10.06,0.29,2402.6
31.0,SK,151100.0,100.0,-0.07%,200.0,-7555.0,5.13,0.38,144518.4
32.0,두산에너빌리티,16930.0,50.0,+0.30%,5000.0,-16.22,-11.7,1.47,90.0
33.0,하이브,255000.0,1500.0,-0.58%,500.0,239.21,1.87,3.72,13945.5
34.0,삼성에스디에스,135200.0,1500.0,-1.10%,500.0,9.47,14.23,1.26,21449.1
35.0,메리츠금융지주,49750.0,1550.0,+3.22%,500.0,5.36,30.32,1.28,8465.4
36.0,SK텔레콤,46750.0,200.0,+0.43%,100.0,10.32,7.97,0.89,79476.3
37.0,한화오션,46400.0,50.0,-0.11%,5000.0,-3.62,-117.79,7.91,-495.5
38.0,고려아연,501000.0,1000.0,+0.20%,5000.0,12.8,9.38,1.12,9101.5
39.0,대한항공,25000.0,150.0,+0.60%,5000.0,6.39,21.95,1.03,335.7
40.0,S-Oil,77700.0,900.0,-1.15%,2500.0,6.04,27.2,1.08,2799.2
41.0,HMM,17600.0,80.0,-0.45%,5000.0,1.19,64.98,0.41,612.2
42.0,KT,32300.0,400.0,+1.25%,5000.0,7.34,7.99,0.5,1003.4
43.0,HD한국조선해양,118600.0,800.0,-0.67%,5000.0,-67.12,-2.22,0.87,4738.5
44.0,우리금융지주,11420.0,30.0,+0.26%,5000.0,2.59,11.51,0.28,768.9
45.0,기업은행,10410.0,10.0,+0.10%,5000.0,2.93,9.85,0.26,591.2
46.0,삼성중공업,9160.0,10.0,-0.11%,1000.0,-15.96,-16.08,2.09,402.6
47.0,크래프톤,163100.0,2000.0,+1.24%,100.0,15.33,10.29,1.42,100146.4
48.0,LG생활건강,495000.0,3000.0,-0.60%,5000.0,40.16,4.41,1.54,6366.2
49.0,아모레퍼시픽,130400.0,100.0,-0.08%,500.0,86.3,2.81,1.85,13907.7
50.0,금양,129900.0,13700.0,-9.54%,500.0,-210.19,-24.34,59.33,262.0
51.0,SK바이오팜,94700.0,5000.0,-5.02%,500.0,-69.58,-36.66,23.45,657.1
52.0,삼성엔지니어링,37200.0,0.0,0.00%,5000.0,10.02,28.32,2.49,168.8
53.0,SK아이이테크놀로지,99500.0,1600.0,+1.63%,1000.0,-226.14,-1.35,3.14,2964.6
54.0,한화솔루션,38400.0,350.0,+0.92%,5000.0,19.61,4.21,0.79,805.7
55.0,카카오페이,48650.0,650.0,-1.32%,500.0,129.39,3.08,3.58,2485.6
56.0,SK스퀘어,46000.0,50.0,-0.11%,100.0,-9.3,1.55,0.4,54222.8
57.0,현대글로비스,170300.0,2800.0,+1.67%,500.0,5.42,18.78,0.91,36441.8
58.0,SK바이오사이언스,82500.0,3300.0,-3.85%,500.0,78.42,,3.67,4410.8
59.0,LG이노텍,267000.0,7000.0,+2.69%,5000.0,7.94,25.85,1.48,3467.1
60.0,롯데케미칼,140700.0,1300.0,-0.92%,5000.0,54.43,0.43,0.38,8148.3
61.0,KODEX 200,33995.0,110.0,-0.32%,0.0,,,,
62.0,한화에어로스페이스,116500.0,1800.0,+1.57%,5000.0,10.32,6.98,1.83,842.1
63.0,유한양행,75700.0,700.0,-0.92%,1000.0,58.05,4.86,2.74,2712.5
64.0,엔씨소프트,263500.0,2000.0,+0.76%,500.0,15.2,13.73,1.68,35007.9
65.0,DB손해보험,80000.0,2000.0,+2.56%,500.0,4.77,16.45,0.51,15759.2
66.0,두산밥캣,55400.0,400.0,-0.72%,500.0,7.39,13.78,1.04,10254.8
67.0,TIGER CD금리투자KIS(합성),52830.0,15.0,+0.03%,0.0,,,,
68.0,한온시스템,9610.0,80.0,-0.83%,100.0,114.4,0.89,2.17,4184.6
69.0,LG디스플레이,14020.0,70.0,-0.50%,5000.0,-1.17,-26.71,0.56,425.4
70.0,HD현대,61800.0,0.0,0.00%,1000.0,4.31,20.43,0.59,9711.1
71.0,한국타이어앤테크놀로지,39250.0,0.0,0.00%,500.0,7.12,8.14,0.53,14291.5
72.0,맥쿼리인프라,11980.0,30.0,+0.25%,0.0,,,,
73.0,한국항공우주,49300.0,2300.0,+4.89%,5000.0,43.06,8.78,3.35,197.3
74.0,코스모신소재,155900.0,600.0,+0.39%,1000.0,219.89,12.13,18.78,631.5
75.0,오리온,118800.0,1200.0,-1.00%,500.0,11.99,16.47,1.76,9188.7
76.0,한미반도체,47850.0,1050.0,+2.24%,100.0,22.87,25.04,9.24,2958.3
77.0,CJ제일제당,308000.0,2000.0,-0.65%,5000.0,12.5,9.26,0.71,8033.8
78.0,현대제철,34700.0,350.0,-1.00%,5000.0,6.01,5.56,0.24,2589.8
79.0,LG유플러스,10140.0,80.0,-0.78%,5000.0,6.87,8.37,0.54,221.6
80.0,현대오토에버,155500.0,200.0,+0.13%,500.0,33.38,8.0,2.87,10688.8
81.0,넷마블,49600.0,1200.0,+2.48%,100.0,-5.24,-14.56,0.75,61369.8
82.0,미래에셋증권,6900.0,50.0,-0.72%,5000.0,7.74,6.17,0.39,162.3
83.0,한미약품,329000.0,1500.0,-0.45%,2500.0,38.83,9.89,4.45,2808.5
84.0,F&F,106000.0,2900.0,-2.66%,100.0,8.75,60.4,4.13,24518.3
