순위,곡제목,가수명,앨범명
<<1위>>,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up'
<<2위>>,ETA,NewJeans,NewJeans 2nd EP 'Get Up'
<<3위>>,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
<<4위>>,퀸카 (Queencard),(여자)아이들,I feel
<<5위>>,헤어지자 말해요,박재정,1집 Alone
<<6위>>,I AM,IVE (아이브),I've IVE
<<7위>>,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN
<<8위>>,Spicy,aespa,MY WORLD - The 3rd Mini Album
<<9위>>,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”)
<<10위>>,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up'
<<11위>>,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN
<<12위>>,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
<<13위>>,Kitsch,IVE (아이브),I've IVE
<<14위>>,Ditto,NewJeans,NewJeans 'OMG'
<<15위>>,Cool With You,NewJeans,NewJeans 2nd EP 'Get Up'
<<16위>>,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
<<17위>>,OMG,NewJeans,NewJeans 'OMG'
<<18위>>,꽃,지수 (JISOO),ME
<<19위>>,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
<<20위>>,After LIKE,IVE (아이브),After LIKE
<<21위>>,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
<<22위>>,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯
<<23위>>,Summer (Feat. BE’O (비오)),Paul Blanco,Summer
<<24위>>,LOVE DIVE,IVE (아이브),LOVE DIVE
<<25위>>,I Don't Think That I Like Her,Charlie Puth,CHARLIE
<<26위>>,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
<<27위>>,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
<<28위>>,심(心),DK(디셈버),심(心)
<<29위>>,ISTJ,NCT DREAM,ISTJ - The 3rd Album
<<30위>>,Teddy Bear,STAYC(스테이씨),Teddy Bear
<<31위>>,모래 알갱이,임영웅,모래 알갱이
<<32위>>,Candy,NCT DREAM,Candy - Winter Special Mini Album
<<33위>>,Cupid,FIFTY FIFTY,The Beginning: Cupid
<<34위>>,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
<<35위>>,물론,허각,물론
<<36위>>,Still With You,정국,Still With You
<<37위>>,ASAP,NewJeans,NewJeans 2nd EP 'Get Up'
<<38위>>,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
<<39위>>,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
<<40위>>,Dynamite,방탄소년단,Dynamite (DayTime Version)
<<41위>>,나에게 그대만이,탑현,나에게 그대만이
<<42위>>,Allergy,(여자)아이들,I feel
<<43위>>,잠깐 시간 될까,이무진,잠깐 시간 될까
<<44위>>,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
