번호,제목,가수,곡코드번호,가사
1,어푸 (Ah puh),아이유,33372788,"I’m such a good surfer
가라앉지 않기
비틀 비 비틀 거리다가 풍덩 uh
빠지더라도 구명복 따윈 졸업

I’m such a good surfer
휩쓸리지 않기
울렁 우 울렁 거리다가 throw up
게워내더라도 지는 건 난 못 참아

제일 높은 파도
올라타타 라차차우아
해일과 함께 사라질 타이밍
그건 내가 골라
무슨 소리 겁이 나기는, 재밌지 뭐

어어어 푸푸푸 또
허허허 우우우적
거거거 리더던 시
저저절 나라면
워어언 이 사람아
언제적 얘길 꺼내나
보란듯이 헤엄치기 처첨버벙

저저적 셔셔셔 또
저저적 셔셔셔
거거겁 없이 몸을
더더던 져져져
워어언 이 사람아
뭘 그렇게나 놀래나
더 재밌는 걸 보여줄게
When the wave has come

I’m a bubble maker
잔잔한 바다를
지긋 지 지긋 괴롭히는 villain uh
나이를 먹어도 이 버릇 남 못 줘 난

I’m a bubble maker
이제 이쯤이야
출렁 추 출렁 멀미도 suck it up
물 먹이더라도 이곳을 난 못 떠나

제일 높은 파도
올라타타 라차차우아
너울과 함께 부서질 타이밍
그건 내가 골라
무슨 소리 겁이 나기는, 재밌지 뭐

어어어 푸푸푸 또
허허허 우우우적
거거거 리더던 시
저저절 나라면
워어언 이 사람아
언제적 얘길 꺼내나
맨몸으로 헤엄치기 처첨버벙

어 또 보네 다음에
다시 만날 때까지
부디 행운을 빌어
지겹게 보자고

슬 가볼게 나 먼저
저기 물마루에
원 이 사람 참
뭘 그렇게나 놀래나
더 재밌는 걸 보여줄게
When the wave has come

저저적 셔셔셔 또
저저적 셔셔셔
거거겁 없이 몸을
더더던 져져져
워어언 이 사람아
뭘 그렇게나 보채나
거품처럼 사라질게
When the time has come"
2,어젯밤 이야기,아이유,30646586,"어젯밤에 난 네가 미워졌어
어젯밤에 난 네가 싫어졌어
빙글빙글 돌아가는
불빛들을 바라보며
나 혼자 가슴 아팠어
내 친구들이
너의 손을 잡고 춤출 때마다
괴로워하던 나의 모습을
왜 못 보았니
어젯밤 파티는 너무도 외로웠지
이 세상을 다 준대도
바꿀 수가 없는 넌데
너는 그걸 왜 모르니 우
어젯밤에 난 네가 미워졌어
어젯밤에 난 네가 싫어졌어
쉴 새 없는 음악소리
끝나기를 기다리며
나 혼자 우울했었지
내 친구들이
너의 손을 잡고 춤출 때마다
괴로워하던 나의 모습을
왜 못 보았니
어젯밤 파티는 너무도 외로웠지
이 세상을 다 준대도
바꿀 수가 없는 넌데
너는 그걸 왜 모르니 우
어젯밤에 난 네가 미워졌어
어젯밤에 난 네가 싫어졌어
쉴 새 없는 음악소리
끝나기를 기다리며
나 혼자 우울했었지"
3,드라마,아이유,34481680,"나도 한때는 그이의 손을 잡고
내가 온 세상 주인공이 된 듯
꽃송이의 꽃잎 하나하나까지
모두 날 위해 피어났지

올림픽대로 뚝섬 유원지
서촌 골목골목 예쁜 식당
나를 휘청거리게 만든
주옥같은 대사들

다시 누군가 사랑할 수 있을까
예쁘다는 말 들을 수 있을까
하루 단 하루만 기회가 온다면
죽을힘을 다해 빛나리

언제부턴가 급격하게
단조로 바뀌던 배경음악
조명이 꺼진 세트장에
혼자 남겨진 나는

단역을 맡은 그냥 평범한 여자
꽃도 하늘도 한강도 거짓말
나의 드라마는 또 이렇게 끝나
나왔는지조차 모르게

끝났는지조차 모르게"
4,내 손을 잡아,아이유,3414749,"느낌이 오잖아

떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

어서 내 손을 잡아

우연히 고개를 돌릴 때 마다

눈이 마주치는 건

며칠 밤 내내 꿈속에 나타나

밤새 나를 괴롭히는 건

그 많은 빈자리 중에서 하필

내 옆자릴 고르는 건

나도 모르게 어느새 실없는 웃음

흘리고 있다는 건

그럼 말 다했지 뭐

우리 얘기 좀 할까

느낌이 오잖아 떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

핸드폰 진동에

심장이 덜컥내려 앉는다는 건

오 나도 모르게

어느새 짓궂은 네 말투

자꾸 듣고 싶은걸

어떡해

저기 멀리 걸어온다

눈이 마주친다

언제까지 넌 모른척 할거니

사랑이 온거야 너와 나 말이야

네가 좋아 정말 못 견딜 만큼

그거면 된거야

더는 생각하지 말란 말이야

네 맘 가는 그대로

느낌이 오잖아 떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

그냥 내 손을 잡아

지금 내 손을 잡아"
5,삐삐,아이유,31346009,"Hi there
인사해 호들갑 없이
시작해요 서론 없이
스킨십은 사양할게요
back off back off
이대로 좋아요
balance balance
It's me 나예요 다를 거 없이
요즘엔 뭔가요 내 가십
탐색하는 불빛
scanner scanner
오늘은 몇 점인가요
jealous jealous
쟤는 대체 왜 저런 옷을 좋아한담
기분을 알 수 없는 저 표정은 뭐람
태가 달라진 건
아마 스트레스 때문인가
걱정이야 쟤도 참
Yellow C A R D
이 선 넘으면 침범이야 beep
매너는 여기까지
it's ma ma ma mine
Please keep the la la la line
Hello stuP I D
그 선 넘으면 정색이야 beep
Stop it 거리 유지해
cause we don't know know know know
Comma we don't owe owe owe owe
anything
I don't care
당신의 비밀이 뭔지
저마다의 사정 역시
정중히 사양할게요
not my business
이대로 좋아요
talk talkless
Still me 또예요
놀랄 거 없이
I'm sure you're gonna say
my gosh
바빠지는 눈빛
checki cheking
매일 틀린 그림 찾기
hash tagging
꼿꼿하게 걷다가 삐끗 넘어질라
다들 수군대는 걸 자긴 아나 몰라
요새 말이 많은 걔랑 어울린다나
문제야 쟤도 참
Yellow C A R D
이 선 넘으면 침범이야 beep
매너는 여기까지
it's ma ma ma mine
Please keep the la la la line
Hello stuP I D
그 선 넘으면 정색이야 beep
Stop it 거리 유지해
cause we don't know know know know
Comma we don't owe owe owe owe
anything
편하게 하지 뭐
어 거기 너 내 말 알아 들어 어
I don't believe it
에이 아직 모를 걸
내 말 틀려 또 나만 나뻐 어
I don't believe it
깜빡이 켜 교양이 없어 너
knock knock knock
Enough 더 상대 안 해
block block block block block
잘 모르겠으면
이젠 좀 외워 babe
Repeat repeat
참 쉽지 right
Yellow C A R D
이 선 넘으면 침범이야 beep
매너는 여기까지
it's ma ma ma mine
Please keep the la la la line
Hello stuP I D
그 선 넘으면 정색이야 beep
Stop it 거리 유지해
cause we don't know know know know
Comma we don't owe owe owe owe
anything"
6,Rain Drop,아이유,2705411,"소나기가 내려온다
내 머리위로 갑자기
말도 없이 젖어버리겠네
추억이 흘러 내린다
따라 눈물도 흐른다 바보처럼
집에가는길 아직도 멀기만한데
우산도 없이 감기걸릴것만 같아
이 길이 너에게로
돌아갈수 있는 길이면
젖어도 좋은데
Oh Rain Drop Oh Rain Drop
사랑이 참 모자라구나
Oh Rain Drop Oh Rain Drop
사랑은 저 빗방울처럼
모두 까맣게 잊어버리고
젖어 버리고선
아파하는 감기같은 걸까요

지난 여름날 햇살아래 짜증내고
뒤돌아 서버린 내 어리석음
예전처럼 우산을 들고
서있는 너를 본다면
참좋을 것같아
Oh Rain Drop Oh Rain Drop
사랑이 참 모자라구나
Oh Rain Drop Oh Rain Drop
사랑은 저 빗방울처럼
모두 까맣게 잊어버리고
젖어 버리고선
아파하는 감기같은 걸까요
쉽게 내쳐버린 말
야속했던 얘기로
많이 상처받았을 네가슴 이지만
오 아직도 내가 있다면
그안에 내가 있다면
젖은 발로 달려가고만 싶어
oh rain drop oh rain drop
사랑이 참 모자라구나
oh rain drop oh rain drop
사랑은 저 빗방울처럼
정말 까맣게 잊어버리고
젖어 버리고선
아파하는 감기같은 걸까요
그런 못된 감기같은 걸까요
내사랑은 항상 왜 이럴까요"
7,비밀의 화원,아이유,30646584,"바람을 타고 날아오르는
새들은 걱정 없이
아름다운 태양 속으로
음표가 되어 나네
향기 나는 연필로 쓴 일기처럼
숨겨두었던 마음
기댈 수 있는 어깨가 있어
비가 와도 젖지 않아
어제의 일들은 잊어
누구나 조금씩은 틀려
완벽한 사람은 없어
실수투성이고 외로운 나를 봐
난 다시 태어난 것만 같아
그대를 만나고부터
그대 나의 초라한 마음을
받아준 순간부터 랄라라릴라
하루하루 조금씩 나아질 거야
그대가 지켜보니
힘을 내야지 행복해져야지
뒤뜰에 핀 꽃들처럼
점심을 함께 먹어야지
새로 연 그 가게에서
새 샴푸를 사러 가야지
아침 하늘빛의 민트향이면 어떨까
난 다시 꿈을 꾸게 되었어
그대를 만나고부터
그대 나의 초라한
마음을 받아준 순간부터 랄라라릴라
월요일도 화요일도 봄에도
겨울에도 해가 질 무렵에도
비둘기를 안은 아이같이
행복해줘 나를 위해서
난 다시 태어난 것만 같아
그대를 만나고부터
그대 나의 초라한 마음을
받아준 순간부터 랄라라릴라
난 다시 꿈을 꾸게 되었어
그대를 만나고부터
그대 나의 초라한 마음을
받아준 순간부터 랄라라릴라"
8,푸르던,아이유,7896509,"그날 알았지 이럴 줄
이렇게 될 줄
두고두고 생각날 거란 걸
바로 알았지
까만 하늘 귀뚜라미
울음소리
힘을 주어 잡고 있던 작은 손
너는 조용히 내려
나의 가물은 곳에 고이고
나는 한참을 서서
가만히 머금은 채로 그대로
나의 여름 가장 푸르던 그 밤
그 밤
너의 기억은 어떨까
무슨 색일까
너의 눈에 비친 내 모습도
소중했을까
머리 위로 연구름이
지나가네
그 사이로 선바람이 흐르네
너는 조용히 내려
나의 가물은 곳에 고이고
나는 한참을 서서
가만히 머금은 채로 그대로
나의 여름 가장 푸르던
빗소리가 삼킨 사랑스런 대화
조그맣게 움을 트는 마음
그림처럼 묽게 번진 여름 안에
오로지 또렷한 너
너는 조용히 내려
나의 가물은 곳에 고이고
나는 한참을 서서
가만히 머금은 채로 그대로
나의 여름 가장 푸르던 그 밤
그 밤
그날 알았지 이럴 줄"
9,strawberry moon,아이유,34101563,"달이 익어가니 서둘러 젊은 피야
민들레 한 송이 들고
사랑이 어지러이 떠다니는 밤이야
날아가 사뿐히 이루렴

팽팽한 어둠 사이로
떠오르는 기분
이 거대한 무중력에 혹 휘청해도
두렵진 않을 거야

푸르른 우리 위로
커다란 strawberry moon 한 스쿱
나에게 너를 맡겨볼래 eh-oh

바람을 세로질러
날아오르는 기분 so cool
삶이 어떻게 더 완벽해 ooh

다시 마주하기 어려운 행운이야
온몸에 심장이 뛰어
Oh 오히려 기꺼이 헤매고픈 밤이야
너와 길 잃을 수 있다면

맞잡은 서로의 손으로
출입구를 허문
이 무한함의 끝과 끝 또 위아래로
비행을 떠날 거야

푸르른 우리 위로
커다란 strawberry moon 한 스쿱
나에게 너를 맡겨볼래 eh-oh
바람을 세로질러
날아오르는 기분 so cool
삶이 어떻게 더 완벽해 ooh

놀라워 이보다
꿈같은 순간이 또 있을까 (더 있을까)
아마도 우리가 처음 발견한
오늘 이 밤의 모든 것, 그 위로 날아

푸르른 우리 위로
커다란 strawberry moon 한 스쿱
세상을 가져보니 어때 eh-oh

바람을 세로질러
날아오르는 기분 so cool
삶이 어떻게 더 완벽해 ooh"
10,잠자는 숲 속의 왕자 (Feat. 윤상),아이유,3628512,"언제까지 너의 꿈속으로
달아나는 거야
아침이면 모두 어김없이
끝나 버릴 텐데
잠든 너를 지켜보는 것도
지겨워 지겨워
눈을 뜨면 나는 먼 곳으로
떠났을지 몰라
자고 있던 나를 깨워 놓은 건
잊어버렸니 바로 너였을 텐데
꿈결 속에 들려준 약속들 모두
눈을 떠 봐 어디간 거야
언제까지 너의 꿈속으로
달아나는 거야
아침이면 모두 어김없이
끝나 버릴텐데
잠든 너를 지켜보는 것도
지겨워 지겨워
눈을 뜨면 나는 먼 곳으로
떠났을지 몰라
자고 있던 나를 깨워 놓은 건
잊어버렸니 바로 너였을 텐데
꿈결 속에 들려준 약속들 모두
눈을 떠 봐 어디간 거야
어디에서부터 잘못된 거야
맨 처음부터
이런 것이 끝은 아니었잖아
잊어버렸니 모두 그대로인걸
옛날부터 그렇게 정해진대로
오래오래 행복해야지
자고 있던 나를 깨워 놓은 건
잊어버렸니 바로 너였을 텐데
꿈결 속에 들려준 약속들 모두
눈을 떠 봐 어디간 거야
자고 있던 나를 깨워 놓은 건
잊어버렸니 바로 너였을 텐데
꿈결 속에 들려준 약속들 모두
눈을 떠 봐 어디간 거야"
