번호,제목,가수,곡코드번호
1,어푸 (Ah puh),아이유,33372788
2,어젯밤 이야기,아이유,30646586
3,드라마,아이유,34481680
4,내 손을 잡아,아이유,3414749
5,삐삐,아이유,31346009
6,Rain Drop,아이유,2705411
7,비밀의 화원,아이유,30646584
8,푸르던,아이유,7896509
9,strawberry moon,아이유,34101563
10,잠자는 숲 속의 왕자 (Feat. 윤상),아이유,3628512
11,Black Out,아이유,30378160
12,Into the I-LAND,아이유,32698765
13,Suga Luv (Feat. 아이유),비즈니즈,2213554
14,달빛바다,아이유,3863651
15,마쉬멜로우,피에스타,2354532
16,나 말고 넷,아이유,2140971
17,삼촌 (Feat. 이적),아이유,3628515
18,Boo,아이유,2140966
19,소격동,아이유,5401276
20,이 지금,아이유,30378155
21,애타는 마음,아이유,4711007
22,새 신발,울랄라세션,7896506
23,복숭아,아이유,3791293
24,Love Attack,아이유,2354530
25,Flu,아이유,33372782
26,너랑 나,아이유,3625504
27,Blueming,아이유,32183386
28,있잖아 (Rock Ver.),아이유,2140978
29,좋은 날,아이유,3051244
30,잼잼,아이유,30378159
31,잔소리 (With 2AM 슬옹),아이유,2705410
32,하루 끝,아이유,3795586
33,마음,아이유,5700639
34,Havana,아이유,4369837
35,꿍따리 샤바라 (Feat. 클론),아이유,4646588
36,에잇(Prod.&Feat. SUGA of BTS),아이유,32578498
37,잠 못 드는 밤 비는 내리고,아이유,30646585
