순위,곡제목,가수명,앨범명
<<1위>>,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up'
<<2위>>,ETA,NewJeans,NewJeans 2nd EP 'Get Up'
<<3위>>,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
<<4위>>,퀸카 (Queencard),(여자)아이들,I feel
<<5위>>,헤어지자 말해요,박재정,1집 Alone
<<6위>>,I AM,IVE (아이브),I've IVE
<<7위>>,Spicy,aespa,MY WORLD - The 3rd Mini Album
<<8위>>,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”)
<<9위>>,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN
<<10위>>,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up'
<<11위>>,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
<<12위>>,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN
<<13위>>,Kitsch,IVE (아이브),I've IVE
<<14위>>,Ditto,NewJeans,NewJeans 'OMG'
<<15위>>,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯
<<16위>>,Cool With You,NewJeans,NewJeans 2nd EP 'Get Up'
<<17위>>,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
<<18위>>,OMG,NewJeans,NewJeans 'OMG'
<<19위>>,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
<<20위>>,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
<<21위>>,Summer (Feat. BE’O (비오)),Paul Blanco,Summer
<<22위>>,꽃,지수 (JISOO),ME
<<23위>>,After LIKE,IVE (아이브),After LIKE
<<24위>>,Still With You,정국,Still With You
<<25위>>,LOVE DIVE,IVE (아이브),LOVE DIVE
<<26위>>,I Don't Think That I Like Her,Charlie Puth,CHARLIE
<<27위>>,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
<<28위>>,심(心),DK(디셈버),심(心)
<<29위>>,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
<<30위>>,Teddy Bear,STAYC(스테이씨),Teddy Bear
<<31위>>,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
<<32위>>,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
<<33위>>,잠깐 시간 될까,이무진,잠깐 시간 될까
<<34위>>,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
<<35위>>,물론,허각,물론
<<36위>>,나에게 그대만이,탑현,나에게 그대만이
<<37위>>,Cupid,FIFTY FIFTY,The Beginning: Cupid
<<38위>>,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
<<39위>>,모래 알갱이,임영웅,모래 알갱이
<<40위>>,ASAP,NewJeans,NewJeans 2nd EP 'Get Up'
<<41위>>,Dynamite,방탄소년단,Dynamite (DayTime Version)
<<42위>>,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
<<43위>>,ISTJ,NCT DREAM,ISTJ - The 3rd Album
<<44위>>,사랑..그게 뭔데,지아,사랑..그게 뭔데
